method	percentage	type	dropout	cells	status
wilcoxon	95	precision	0	20	OK
wilcoxon	44	sensitivity	0	20	OK
MAST	100	precision	0	20	OK
MAST	4	sensitivity	0	20	OK
DESeq2-pseudobulk	0	precision	0	20	OK
DESeq2-pseudobulk	0	sensitivity	0	20	OK
limma-pseudobulk	0	precision	0	20	OK
limma-pseudobulk	0	sensitivity	0	20	OK
wilcoxon	93	precision	0	200	OK
wilcoxon	99	sensitivity	0	200	OK
MAST	95	precision	0	200	OK
MAST	99	sensitivity	0	200	OK
DESeq2-pseudobulk	89	precision	0	200	OK
DESeq2-pseudobulk	95	sensitivity	0	200	OK
limma-pseudobulk	91	precision	0	200	OK
limma-pseudobulk	94	sensitivity	0	200	OK
wilcoxon	75	precision	0	2000	OK
wilcoxon	100	sensitivity	0	2000	OK
MAST	86	precision	0	2000	OK
MAST	100	sensitivity	0	2000	OK
DESeq2-pseudobulk	93	precision	0	2000	OK
DESeq2-pseudobulk	100	sensitivity	0	2000	OK
limma-pseudobulk	95	precision	0	2000	OK
limma-pseudobulk	100	sensitivity	0	2000	OK
wilcoxon	0	precision	60	20	OK
wilcoxon	0	sensitivity	60	20	OK
MAST	0	precision	60	20	OK
MAST	0	sensitivity	60	20	OK
DESeq2-pseudobulk	0	precision	60	20	OK
DESeq2-pseudobulk	0	sensitivity	60	20	OK
limma-pseudobulk	0	precision	60	20	OK
limma-pseudobulk	0	sensitivity	60	20	OK
wilcoxon	93	precision	60	200	OK
wilcoxon	77	sensitivity	60	200	OK
MAST	97	precision	60	200	OK
MAST	81	sensitivity	60	200	OK
DESeq2-pseudobulk	90	precision	60	200	OK
DESeq2-pseudobulk	42	sensitivity	60	200	OK
limma-pseudobulk	100	precision	60	200	OK
limma-pseudobulk	3	sensitivity	60	200	OK
wilcoxon	93	precision	60	2000	OK
wilcoxon	100	sensitivity	60	2000	OK
MAST	95	precision	60	2000	OK
MAST	100	sensitivity	60	2000	OK
DESeq2-pseudobulk	89	precision	60	2000	OK
DESeq2-pseudobulk	100	sensitivity	60	2000	OK
limma-pseudobulk	90	precision	60	2000	OK
limma-pseudobulk	100	sensitivity	60	2000	OK



